"File name";Size;Creator;Date;Name;Description;Path
RBFN.png;217481;"Ulf Krumnack, Ph.D.";"2018-05-29 09:30:18";RBFN.png;"Graphic for sheet08.ipynb.";/RBFN.png
sheet08.ipynb;36487;"Rüdiger Frederik Busche";"2018-05-29 13:21:06";sheet08;;/sheet08.ipynb
